epoch,time,total_loss,cls_loss,box_loss,lr
0,59.4802041053772,38346.1555390625,1314.5337685546874,37031.62196875,0.0001
1,40.82831954956055,35046.62769921875,1120.2116254882812,33926.4161875,0.0001
1,124.9841365814209,310298.31001984124,10548.094463045634,299750.2157738095,0.0001
2,66.32955574989319,294156.1868799603,8816.272162543402,285339.9140625,0.0001
1,113.74769949913025,282876.4051339286,9273.343525235616,273603.0621279762,0.0001
1,107.56643223762512,283029.67956349207,9258.919418092757,273770.7619047619,0.0001
1,113.71081399917603,283012.0427827381,9212.35074094742,273799.6901041667,0.0001
1,110.96184611320496,282942.68601190473,9231.192003038195,273711.49503968254,0.0001
2,65.77188563346863,270745.25496031746,8541.298727368552,262203.95498511905,0.0001
1,107.82742524147034,260160.79861111112,8821.261935763889,251339.53831845237,0.0001
2,67.10247230529785,248726.1572420635,8040.150592137897,240686.0068204365,0.0001
3,64.52225136756897,237794.7251984127,7787.289934430803,230007.4372519841,0.0001
4,66.3409731388092,227053.21130952382,7630.499372209822,219422.71279761905,0.0001
5,67.71727967262268,216500.4341517857,7496.38720703125,209004.04737103175,0.0001
6,66.59040188789368,206927.38678075396,7419.3775150359625,199508.00942460317,0.0001
7,68.26398229598999,197936.5904017857,7259.4741443452385,190677.11594742062,0.0001
8,64.87845540046692,188717.0476810516,7158.257200210814,181558.79098462302,0.0001
9,66.67982983589172,180754.4310515873,7034.4328690786215,173719.99758184524,0.0001
10,72.66969513893127,172282.61210317462,6892.133169022817,165390.47941468254,0.0001
